DriverId,CircuitId,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,1,"0,1,5,4,0,-1,-1,-3,0,-5,0,",-5,5,-1,0,0,0,2.6457513110645907
1,2,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,",-1,7,0,0,0,1,2.2360679774997898
1,3,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,",-6,2,-1,0,0,-2,2.6457513110645907
1,4,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,",-2,4,-1,0,0,0,1.4142135623730951
1,6,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,",-1,1,0,0,0,0,0.0
1,7,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,",-1,0,0,0,0,-1,0.0
1,8,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,",-1,3,-1,3,-1,1,2.0
1,9,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,",-1,4,0,0,2,1,1.4142135623730951
1,10,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,",-1,3,0,1,2,1,1.4142135623730951
1,11,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,",-9,1,-1,0,0,-1,2.6457513110645907
1,13,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,",-2,6,0,0,1,0,2.0
