Circuit,circuitId,Type ,Direction,Location,Last length used,Grands Prix,Season(s),Data_recorder,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Link to reference photo
Autodromo Nazionale Monza,14,Race circuit,Clockwise,"Monza, Italy",5.793 km (3.600 mi),Italian Grand Prix,"1950–1979, 1981–2017",Cici,8_18%,2_0.7%,2_1.8%,7_9%,8_6%,3_2.3%,8_4%,5_3%,8_3%,4_2.2%,8_16%,4_1.8%,5_2.4%,8_17%,5_3.8%,6_5%,8_4%,,,,,,,,,,,https://www.f1technical.net/forum/viewtopic.php?t=24782
Circuit de Monaco,6,Street circuit,Clockwise,Monaco,3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2017",Cici,6_6.3%,3_2.4%,8_13.4%,7_4.1%,4_6.2%,3_2.7%,8_4.1%,2_1.4%,3_3.1%,1_2.6%,3_0.9%,2_1.3%,8_6.5%,6_4.9%,8_7.2%,2_3.2%,8_6.3%,5_3.4%,8_3.6%,6_1.4%,8_4%,3_1.7%,4_3%,1_0.7%,8_1.6%,2_0.5%,8_3.5%,https://d1evvto86t5vms.cloudfront.net/news/wp-content/uploads/images/2016/05/MONACO-CIRCUIT.jpg
Silverstone Circuit,9,Race circuit,Clockwise,"Silverstone, United Kingdom",5.891 km (3.660 mi),British Grand Prix,"1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2017",Cici ,8_9%,7_5.6%,8_3.2%,3_1.6%,2_6.9%,8_13%,4_2.7%,3_3.4%,7_4.6%,8_9%,6_3.4%,8_9.4%,5_3.2%,8_13%,5_4.2%,8_2.8%,3_2.2%,5_2.8%,,,,,,,,,,http://www.team-bhp.com/forum/attachments/intl-motorsport/1525616d1467898359-formula-1-2016-british-grand-prix-silverstone-circuit.jpg
Circuit de Spa-Francorchamps,13,Race circuit,Clockwise,"Stavelot, Belgium",7.004 km (4.352 mi),Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2017",Brendan,8_8%,1_0.7%,8_3.2%,6_4.1%,3_2.4%,8_19%,3_8.3%,8_2.1%,6_6.7%,3_1.2%,8_3.6%,5_5.8%,3_4.8%,5_1.4%,7_7.8%,6_20.9%,,,,,,,,,,,,http://www.bolsamania.com/kmph/asi-es-el-circuito-de-spa-francorchamps/
Circuit Gilles Villeneuve,7,Street circuit,Clockwise,"Montreal, Quebec, Canada",4.361 km (2.710 mi),Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2017",Cici,8_7.7%,3_3.4%,2_3.8%,6_7.2%,3_4.9%,8_2.1%,6_5.9%,3_1.9%,4_1.5%,7_13%,3_1.3%,4_2.3%,6_9.8%,2_5%,8_20%,3_2.2%,8_8%,,,,,,,,,,,http://www.fia.com/sites/default/files/styles/panopoly_image_original/public/circuit-f1-07-canada_0.png
Autódromo José Carlos Pace,18,Race circuit,Anti-clockwise,"São Paulo, Brazil",4.309 km (2.677 mi),Brazilian Grand Prix,"1973–1977, 1979–1980,


1990–2017",Brendan,8_7.7%,3_3.4%,4_2.7%,6_7.2%,8_15%,4_4%,5_2.7%,8_7.3%,4_13.3%,2_3.7%,5_8%,3_4.2%,5_6.8%,6_4.9%,8_3.1%,7_6%,,,,,,,,,,,,http://profile-f1-tickets.co.uk/brazilian-grand-prix-tickets/ 
Hockenheimring,10,Race circuit,Clockwise,"Hockenheim, Germany",4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006,


2008, 2010, 2012, 2014, 2016",Cici,8_9%,3_5.6%,8_13.4%,2_6.1%,5_21%,1_1.9%,8_6%,2_2.4%,8_3%,2_1.6%,4_4.9%,3_4.2%,8_6.5%,3_2.4%,1_4.8%,2_7.2%,,,,,,,,,,,,https://storify.com/services/proxy/2/8t9yNxY-cxP-j9Fb2Qv9xg/http/www.kartwork.de/steps/p34/assets/images/hockenheimring.gif 
Hungaroring,11,Race circuit,Clockwise,"Mogyoród, Hungary",4.381 km (2.722 mi),Hungarian Grand Prix,1986–2017,Cici,8_11%,3_3.4%,6_6.1%,3_5%,5_2.5%,8_10%,5_4.1%,4_7.9%,3_3.1%,8_2%,4_8.9%,6_4.2%,5_3.9%,8_10.5%,3_10.8%,4_6.6%,,,,,,,,,,,,https://www.google.com.hk/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi937GJrM3ZAhVIjZQKHWvhC0gQjRx6BAgAEAY&url=https%3A%2F%2Fwww.pistonheads.com%2Fgassing%2Ftopic.asp%3Fh%3D0%26f%3D228%26t%3D1607759&psig=AOvVaw237yM0m8fvNl5rqr2M5w-5&ust=1520069971652224 
A1 Redbull Ring,70,Race circuit,Clockwise,"Spielberg bei Knittelfeld, Austria",4.326 km (2.688 mi),Austrian Grand Prix,1996-2017,Brendan,8_15%,4_2%,6_6.1%,8_17%,2_2.7%,7_13%,8_4.2%,3_3.4%,4_1.6%,7_5%,5_12%,8_8%,6_6.1%,4_2.8%,8_1.1%,,,,,,,,,,,,,http://www.team-bhp.com/forum/intl-motorsport/177652-2016-formula-1-austrian-gp-red-bull-ring.html
Suzuka Circuit,22,Race circuit,Clockwise and Anti-clockwise (figure eight),"Suzuka, Japan",5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2017",Cici,8_11.3%,7_1.6%,4_4.7%,5_2.4%,4_10.7%,6_8.6%,3_6.9%,8_4%,2_3.4%,6_10.3%,5_6%,8_15.1%,7_6%,3_2.4%,4_6.6%,,,,,,,,,,,,,http://www.team-bhp.com/forum/attachments/intl-motorsport/1419015d1443068804-2015-f1-japanese-grand-prix-suzuka-circuit-data.png
